"Title","Content","Type","Category"
"groupFinderJoinedSuccess","<h2>You're in!</h2><p>A confirmation email is headed your way that has all the details of your group. You can expect to hear from your host shortly.</p><p>Thanks for being BRAVE! You're going to love the group dynamic.</p>","info","corkboard"
"groupFinderHostPrivateGroup","<h3>You're now the proud host of a private group!</h3><p class=""lead"">Thanks for stepping up to host, but now you have to go the extra mile. Head over to your group dashboard and send those invites to your group members.</p><p class=""help-block"">Your dashboard is equipped with everything you’ll need to make your group a success. You can invite people to your group, contact group members and access all of your materials.</p>","info","corkboard"
"groupFinderHostPublicGroup","<h3>You did it! Your group is a real thing.</h3><p class=""lead"">You’re awesome. Thanks for stepping up to host. A confirmation email that your group is live is headed to your inbox.</p><p class=""help-block"">We've also created a dashboard for you with everything you'll need to make your group a success. You can invite people to your group, you can contact group members after they sign up, and you can access all your materials. Check it out!!</p>","info","corkboard"
"groupFinderParticipantConfirmation","<h3>You're in!</h3><p class=""lead"">A confirmation email is headed your way that has all the details of your group. You can expect to hear from your host shortly.<br><br> Thanks for being BRAVE! You're going to love the group dynamic.</p>","info","corkboard"
"groupFinderParticipantInviteSpouse","<h3>Invite your spouse to your BRAVE group.</h3><p class=""lead"">You mentioned you wanted to join a group with your spouse. Now’s the time to invite them. Insert their email below and we’ll send them a link to join the group.</p>","info","corkboard"
"groupFinderParticipantNoResults","<h3>We couldn't help but notice... you didn't get any results.</h3><p class=""lead"">Don't take it to hard. It happens. Maybe you could go back and try adding some flexibility to your schedule.</p>","info","corkboard"
"groupFinderHostDashboardInvitation","<h4>Invite someone else.</h4><p>Drop your friend’s email address below to invite them to your group.</p>","info","corkboard"
"groupFinderContactCrds","<p>Need Help?</p>","info","corkboard"
"groupFinderParticipantResultsHeader","<h3>Your hand-picked* groups</h3><p class=""lead"">Hand picked by SCIENCE</p>","info","corkboard"
"groupFinderHostReviewHeader","<h3>Review &amp; Approve</h3><p class=""lead"">Double check your info before you hit publish. Seriously—you can’t go back after publishing your group.</p>","info","corkboard"
"groupFinderParticipantAnywhereError","<p>There was an error sending your information. <span>Contact us at </span><a href=""mailto:journeys@crossroads.net"">journeys@crossroads.net</a><span> and we'll help find the perfect group for you.</span></p>","info","corkboard"
"groupFinderContactCrdsSuccess","<p>Thanks, your information has been sent and someone will contact you shortly.</p><p>Return to <a href=""/"">Crossroads.net</a></p>","info","corkboard"
"groupFinderContactCrdsError","<p>Sorry, there was an error</p>","info","corkboard"
